"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"161","Anfernee Hardaway",2000,"SG",0.549,22.8,0.474,0.79,0.324,0.496,1.5,4.1,5,1.5,0.6,2.4,2.6,16.2,"Anfernee Hardaway-2000",4
"162","Tim Hardaway",2000,"PG",0.5,38.2,0.386,0.827,0.367,0.398,0.5,2.7,8.3,1.1,0.1,2.6,2.4,15,"Tim Hardaway-2000",10
"163","Ron Harper",2000,"PG",0.468,19.2,0.399,0.68,0.311,0.421,1.7,4.2,4.8,1.5,0.7,2.3,2.9,9.8,"Ron Harper-2000",5
"165","Al Harrington",2000,"PF",0.524,7.1,0.458,0.703,0.235,0.491,2,4.7,1.6,1.1,0.4,2.7,5.5,13.8,"Al Harrington-2000",9
"166","Othella Harrington",2000,"PF",0.56,6.3,0.506,0.792,0,0.507,2.6,4.9,1.3,0.5,0.8,2.9,3.9,14.5,"Othella Harrington-2000",12
"167","Lucious Harris",2000,"SG",0.506,10.7,0.428,0.798,0.33,0.46,1.3,3.2,2.4,1.5,0.1,1,2.3,12.2,"Lucious Harris-2000",3
"169","Hersey Hawkins",2000,"SG",0.562,15,0.424,0.899,0.39,0.444,0.7,3.2,3,1.6,0.3,2.2,3.2,10.7,"Hersey Hawkins-2000",2
"171","Alan Henderson",2000,"PF",0.503,4.6,0.461,0.671,0.1,0.465,3.4,4,1,1.1,0.7,1.8,3,14,"Alan Henderson-2000",8
"172","Cedric Henderson",2000,"SF",0.441,7.8,0.396,0.663,0.067,0.412,1.1,3.4,1.8,1.3,0.6,2.2,3.2,10.7,"Cedric Henderson-2000",1
"174","Chris Herren",2000,"PG",0.498,26.8,0.363,0.675,0.358,0.368,0.7,2.4,6.7,0.9,0.1,2.5,4.5,8.5,"Chris Herren-2000",5
"175","Grant Hill",2000,"SF",0.565,26.8,0.489,0.795,0.347,0.5,1.3,5.1,5,1.3,0.6,3.1,2.5,24.7,"Grant Hill-2000",4
"176","Tyrone Hill",2000,"PF",0.529,4,0.485,0.691,0,0.485,3.7,6.8,0.9,1.1,0.5,2.1,4.1,13.6,"Tyrone Hill-2000",8
"177","Fred Hoiberg",2000,"SG",0.53,18.6,0.387,0.908,0.34,0.419,0.3,4.4,3.6,1.7,0.1,1.8,2.8,11.9,"Fred Hoiberg-2000",2
"179","Jeff Hornacek",2000,"SG",0.59,16.3,0.492,0.95,0.478,0.495,0.8,2.2,3.4,1.1,0.3,1.9,2.5,16.1,"Jeff Hornacek-2000",11
"180","Robert Horry",2000,"PF",0.528,10,0.438,0.788,0.309,0.483,2.8,4.9,2.5,1.8,1.7,1.6,4,9.3,"Robert Horry-2000",6
"181","Allan Houston",2000,"SG",0.569,13.2,0.483,0.838,0.436,0.494,0.4,2.6,2.5,0.7,0.2,2.1,2.5,18.3,"Allan Houston-2000",11
"182","Juwan Howard",2000,"PF",0.496,14.5,0.459,0.735,0,0.462,1.6,4.2,3.1,0.8,0.3,2.8,3.7,15.1,"Juwan Howard-2000",8
